iter	Passed	Remaining
0	144	144202
1	145	72753
2	147	48898
3	148	36938
4	149	29761
5	150	24975
6	152	21599
7	153	19039
8	154	17060
9	156	15464
10	157	14155
11	158	13056
12	160	12163
13	161	11359
14	162	10685
15	163	10082
16	165	9557
17	166	9085
18	167	8666
19	169	8296
20	170	7954
21	171	7641
22	173	7372
23	174	7109
24	176	6877
25	177	6657
26	178	6446
27	180	6252
28	181	6077
29	182	5910
30	185	5810
31	188	5688
32	189	5557
33	190	5425
34	192	5303
35	193	5181
36	194	5070
37	196	4963
38	197	4864
39	198	4769
40	199	4674
41	201	4587
42	202	4509
43	204	4440
44	205	4364
45	206	4290
46	208	4219
47	209	4153
48	210	4092
49	212	4031
50	213	3972
51	214	3913
52	215	3858
53	217	3808
54	218	3759
55	220	3709
56	221	3660
57	222	3612
58	223	3565
59	225	3525
60	226	3483
61	227	3441
62	228	3400
63	229	3361
64	231	3323
65	232	3291
66	233	3255
67	234	3218
68	236	3184
69	237	3150
70	238	3117
71	239	3088
72	240	3059
73	242	3031
74	243	3002
75	244	2973
76	245	2948
77	247	2925
78	248	2900
79	249	2873
80	251	2851
81	252	2829
82	253	2800
83	254	2776
84	255	2755
85	257	2733
86	258	2712
87	259	2690
88	260	2669
89	261	2647
90	263	2631
91	264	2611
92	266	2594
93	267	2578
94	268	2559
95	270	2543
96	271	2526
97	272	2509
98	273	2492
99	275	2477
100	276	2460
101	277	2446
102	279	2431
103	280	2415
104	281	2400
105	283	2387
106	284	2373
107	285	2360
108	287	2346
109	288	2331
110	289	2316
111	290	2302
112	291	2289
113	293	2277
114	294	2264
115	295	2251
116	296	2236
117	297	2223
118	298	2210
119	300	2206
120	302	2196
121	303	2183
122	304	2172
123	306	2161
124	307	2150
125	308	2141
126	309	2130
127	311	2120
128	312	2109
129	313	2098
130	314	2087
131	315	2077
132	317	2066
133	318	2056
134	319	2047
135	320	2036
136	321	2026
137	322	2017
138	324	2007
139	325	1997
140	326	1988
141	327	1976
142	328	1967
143	329	1958
144	331	1956
145	333	1948
146	334	1938
147	335	1929
148	336	1921
149	337	1913
150	338	1904
151	339	1896
152	341	1888
153	342	1879
154	343	1871
155	344	1863
156	345	1857
157	347	1851
158	348	1843
159	349	1836
160	350	1826
161	351	1819
162	353	1813
163	354	1807
164	355	1800
165	356	1793
166	358	1785
167	359	1778
168	360	1771
169	361	1764
170	363	1760
171	364	1754
172	365	1748
173	366	1741
174	368	1735
175	369	1729
176	370	1723
177	371	1716
178	372	1710
179	373	1703
180	374	1696
181	376	1691
182	377	1685
183	378	1679
184	379	1673
185	380	1667
186	382	1661
187	383	1655
188	384	1650
189	385	1645
190	387	1640
191	388	1634
192	389	1629
193	390	1624
194	392	1618
195	393	1613
196	394	1607
197	395	1602
198	396	1597
199	398	1592
200	399	1587
201	400	1583
202	401	1578
203	403	1572
204	404	1568
205	405	1563
206	406	1559
207	408	1555
208	410	1554
209	415	1562
210	416	1558
211	417	1553
212	419	1549
213	420	1544
214	421	1540
215	423	1535
216	424	1531
217	425	1526
218	426	1521
219	427	1516
220	429	1512
221	430	1508
222	431	1504
223	432	1499
224	434	1495
225	435	1490
226	436	1486
227	437	1481
228	439	1478
229	440	1474
230	441	1471
231	443	1466
232	444	1463
233	445	1459
234	447	1455
235	448	1451
236	449	1447
237	450	1443
238	452	1440
239	453	1436
240	454	1432
241	455	1428
242	457	1424
243	458	1422
244	460	1418
245	461	1414
246	462	1410
247	464	1407
248	465	1403
249	466	1399
250	467	1396
251	469	1392
252	470	1388
253	471	1385
254	473	1382
255	474	1379
256	475	1376
257	477	1372
258	478	1369
259	479	1365
260	481	1362
261	482	1359
262	484	1356
263	485	1352
264	486	1350
265	488	1347
266	489	1344
267	490	1340
268	492	1337
269	493	1334
270	494	1330
271	496	1328
272	497	1324
273	498	1321
274	499	1318
275	501	1314
276	502	1310
277	503	1308
278	505	1305
279	506	1302
280	507	1299
281	508	1295
282	510	1292
283	511	1288
284	512	1285
285	514	1283
286	515	1280
287	516	1277
288	517	1274
289	519	1271
290	520	1268
291	521	1264
292	522	1261
293	524	1259
294	525	1256
295	526	1252
296	528	1249
297	529	1246
298	530	1243
299	531	1240
300	533	1237
301	534	1235
302	535	1232
303	537	1229
304	538	1226
305	539	1223
306	540	1221
307	542	1218
308	543	1215
309	544	1212
310	545	1209
311	546	1206
312	548	1203
313	549	1201
314	551	1199
315	552	1196
316	554	1193
317	555	1191
318	556	1188
319	557	1185
320	559	1182
321	560	1180
322	561	1177
323	563	1174
324	564	1172
325	565	1169
326	567	1167
327	568	1164
328	569	1161
329	570	1158
330	572	1156
331	573	1153
332	574	1150
333	575	1148
334	577	1145
335	578	1142
336	579	1140
337	580	1137
338	582	1135
339	583	1132
340	584	1129
341	586	1127
342	587	1125
343	588	1122
344	590	1120
345	591	1118
346	592	1115
347	593	1112
348	595	1110
349	596	1107
350	597	1105
351	599	1102
352	600	1100
353	601	1097
354	602	1094
355	603	1092
356	605	1089
357	606	1087
358	607	1084
359	608	1082
360	610	1080
361	611	1077
362	612	1075
363	614	1072
364	615	1070
365	616	1067
366	617	1065
367	619	1063
368	620	1061
369	622	1059
370	623	1057
371	624	1054
372	626	1053
373	627	1050
374	629	1048
375	630	1046
376	631	1043
377	632	1041
378	634	1039
379	635	1036
380	636	1034
381	639	1035
382	644	1037
383	647	1038
384	651	1040
385	653	1039
386	654	1036
387	656	1036
388	658	1034
389	660	1032
390	661	1030
391	663	1029
392	665	1027
393	666	1025
394	667	1023
395	669	1020
396	670	1018
397	672	1017
398	674	1016
399	676	1014
400	678	1013
401	679	1010
402	681	1009
403	682	1006
404	684	1004
405	685	1002
406	686	1000
407	688	999
408	690	997
409	691	995
410	693	993
411	694	991
412	696	989
413	697	987
414	699	985
415	700	982
416	701	980
417	703	978
418	704	977
419	706	975
420	707	973
421	709	971
422	711	969
423	712	968
424	714	966
425	715	963
426	717	962
427	718	959
428	719	958
429	721	956
430	723	954
431	724	953
432	726	951
433	727	948
434	728	946
435	730	944
436	731	942
437	733	941
438	734	938
439	736	937
440	737	934
441	739	933
442	740	931
443	742	929
444	743	927
445	744	925
446	746	923
447	748	921
448	749	919
449	750	917
450	751	915
451	753	913
452	754	911
453	755	909
454	757	907
455	758	905
456	760	903
457	762	902
458	764	900
459	765	898
460	767	896
461	769	896
462	771	894
463	772	892
464	774	890
465	775	888
466	776	886
467	778	884
468	780	883
469	782	882
470	785	882
471	786	880
472	788	878
473	789	876
474	791	875
475	793	873
476	796	873
477	797	871
478	799	869
479	800	867
480	802	865
481	803	863
482	805	861
483	806	860
484	809	859
485	811	858
486	813	856
487	814	854
488	816	853
489	817	851
490	819	849
491	820	847
492	823	846
493	825	845
494	827	843
495	828	841
496	829	839
497	831	837
498	832	835
499	833	833
500	835	832
501	836	829
502	838	828
503	839	826
504	841	824
505	843	823
506	844	821
507	846	819
508	847	817
509	849	815
510	850	813
511	851	811
512	853	810
513	855	808
514	856	806
515	857	804
516	858	802
517	860	800
518	862	798
519	863	796
520	864	794
521	866	793
522	875	798
523	877	797
524	878	795
525	880	793
526	882	792
527	883	789
528	885	788
529	886	786
530	887	784
531	889	782
532	890	780
533	892	778
534	893	776
